NUM	NUM	NUM	TEXT	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	NUM	TEXT	NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	NUM	NUM	NUM
任务编号	脚本编号	任务类别(0为表格，1为脚本)	任务名字	任务名字2（客户端显示）	领取条件1（需已完成此任务才能领取当前任务）	领取条件2（需已完成此任务才能领取当前任务）	领取条件3（需已完成此任务才能领取当前任务）	等级限制Min	等级限制Max	金钱条件类别（0为现银，1为银卡，2为现金，3为银卡）	金钱条件数目	"国籍限制:0-3,对应楼兰、天山、昆仑、敦煌;-1无国籍限制;"	"职业限制:0-11,对应职业类别;-1无职业限制;"	势力（camp）限制	子任务编号1	子任务编号2	子任务编号3	子任务编号4	子任务编号5	完成奖励金钱类别1	完成奖励金钱数值1	完成奖励金钱类别2	完成奖励金钱数值2	完成经验奖励1	完成经验奖励2	完成经验奖励3	完成额外奖励类别（1声望，2PK值，3荣誉（功勋），4帮贡）	完成额外奖励数值1	完成额外奖励数值2	完成额外奖励数值3	完成活力相关奖励类别0：活力（单位：点），1：征服点数（单位：点），2：天赋（单位：点）	完成奖励数值	完成帮会国家相关奖励类别0：帮会经验，1：国家资源-食物，2：国家资源-金钱，3：国家资源-木材，4：国家资源-金属	完成固定数值奖励	完成物品奖励ID1	完成物品奖励1个数	完成物品奖励ID2	完成物品奖励2个数	完成物品奖励ID3	完成物品奖励3个数	完成物品奖励ID4	完成物品奖励4个数	完成可选物品奖励ID1	完成可选物品奖励ID1个数	完成可选物品奖励ID2	完成可选物品奖励ID2个数	完成可选物品奖励ID3	完成可选物品奖励ID3个数	完成可选物品奖励ID4	完成可选物品奖励ID4个数	完成可选物品奖励ID5	完成可选物品奖励ID5个数	完成可选物品奖励ID6	完成可选物品奖励ID6个数	完成获得脚本奖励：0，没有；1，调用对应scriptid脚本的奖励	任务内容	任务诀窍	未完成时交任务的对白	舍弃任务的对白	任务完成后交任务的对白	任务回复的NPCID（对应obj_quest）	任务回复NPC名字	任务回复NPC的场景ID	寻路ID(对应scenemap_npc.tab）	是否自动弹出下一任务领取界面，0弹界面1强制-1无效	自动领取的下一个任务编号	任务目标1	任务目标2	任务目标3	任务目标4	任务目标5	注意事项（提示）	任务管理器同步（0不同步，1同步）	任务特殊处理 0或空:表示无特殊处理 1表示任务不能删除	接任务图标标记 0:剧情任务 1:循环任务 2:传送点
#	罕难河草原		0	49																																																																							
1	-1	0	【剧场】长生天之子	【剧场】长生天之子	-1	-1	-1	10	40	-1	0	-1	-1	-1	22000	-1	-1	-1	-1	1	176	0	0	800	0	0	1	25	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t近日贫道夜观天象，发现天狼星坠落于此。经再三推算，天狼星应对之人正是铁木真，蒙古被长生天所祝福的人。\n\t年轻的#Y@myname#K，你去相助他如何？他和他的兄弟就在前面的特木尔岭，你顺路一直走，定能遇上。	找到天命之人@npc_101001		你真的放弃任务？	\t这些可恨的马贼！他们三番四次的对我们骚扰！\n\t你说什么天命之人？你又是谁？	101001	铁木真	-1	-1	0	2	找到@npc_101001						0		0
2	-1	0	【剧场】结义安答	【剧场】结义安答	1	-1	-1	10	-1	-1	0	-1	-1	-1	22000	-1	-1	-1	-1	1	176	0	0	800	0	0	1	25	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t既然来到了我们的草原，也就是我们的客人，只是现在我们正被可恶的马贼所困扰，不能招待你了。札木合，木华黎是我结义的安答，就是结拜的兄弟，你去与他们谈谈如何能赶走这群可恶的马贼。	去问问@npc_101003发生了什么事。		放弃任务	\t我和木华黎是铁木真的安答，这片草原上的牧民没有不认识我们三人的。我们正准备去对付那些该死的马贼！	101003	札木合	-1	-1	0	20	找到@npc_101003						0		0
3	-1	0	【剧场】夺回小红马	【剧场】夺回小红马	20	-1	-1	10	-1	-1	0	-1	-1	-1	52004	-1	-1	-1	-1	1	176	0	0	1495	0	0	1	25	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t无恶不作的托尔歹三兄弟抢走了我们的朋友孛儿贴的小红马，我们一定要抢回来。\n\t他们还走不远，分开行动应该会快一点。	去东面消灭@npc_13019之一，抢回小红马。	\t我们答应过孛儿贴一定要拿回小红马。	放弃任务	\t谢谢你为我们和孛儿贴找回了小红马，但是我们又遇到了新的难题。	101001	铁木真	-1	-1	-1	-1	去东面消灭@npc_13019之一，抢回小红马					#G按下I键可以寻找并加入一个队伍。	0		0
4	-1	0	【剧场】草原明珠	【剧场】草原明珠	3	3	-1	10	-1	-1	0	-1	-1	-1	22004	-1	-1	-1	-1	1	176	0	0	1495	0	0	1	25	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t薛德禅的女儿是我们三兄弟的好朋友，也就是这罕难河草原上最美丽的女子--草原明珠孛儿贴。\n\t孛儿贴许诺，我们三人中谁找到马，就是她未来的丈夫，我们曾经激动不已，现在才发现，孛儿贴真是给我们出了个难题啊。\n\t还是由你帮我们把小红马送去吧。	将小红马送去给@npc_101004		放弃任务	\t你是他们三兄弟的朋友吗？那就请不用客气，你也是我的朋友。\n\t谢谢你们从可恶的蔑里岂马贼那拿回了我的小红马，可是我……	101004	孛儿贴	-1	-1	0	5	将小红马送去给@npc_101004						0		0
5	-1	0	【剧场】父亲的忧虑	【剧场】父亲的忧虑	4	-1	-1	10	-1	-1	0	-1	-1	-1	22000	-1	-1	-1	-1	1	187	0	0	1495	0	0	1	25	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t这些天我的父亲一直愁眉不展，你帮我问问，发生了什么事？	去找@npc_101005		放弃任务	\t麻烦事一件接着一件的来，难道是上天要毁灭我徳薛禅家族吗？	101005	德薛禅	-1	-1	0	-1	去找@npc_101005						0		0
6	-1	0	【剧场】熊之祸	【剧场】熊之祸	19	-1	-1	10	-1	-1	0	-1	-1	-1	12003	-1	-1	-1	-1	1	187	0	0	1495	0	0	1	25	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	10016001|10026001|10036001|10046001|10056001|10066001|10352001|10362001|10372001|10382001|10392001|10402001	1	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t可怜我们的那只牧羊犬，背花，昨天那些熊来的时候它勇敢的冲了上去，再也没有回来。你看我身边的牧羊犬花背一直闷闷不乐，整天不吃东西。\n\t你能帮我除掉罕难河草原上的那些熊么？	除掉5头@npc_13012	\t可怜的背花，你在哪里呢。	放弃任务	\t你这次也没有发现背花的踪迹么？背花…… \n\t#K还是…… 要多谢你除掉了熊，#Y@myname#K。	101005	德薛禅	-1	-1	-1	-1	除掉5头@npc_13012						0		0
7	-1	0	【剧场】女儿的心愿	【剧场】女儿的心愿	5	-1	-1	10	-1	-1	0	-1	-1	-1	52001	-1	-1	-1	-1	1	209	0	0	1495	0	0	1	25	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	10255989|10255990|10255991|10255992|10255993|10255994|10255995|10255996|10255997|10255998|10255999|10256000	1	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t孛儿贴很想要一条围脖，而这草原上最好的就是银狐尾编织的银狐围脖。\n\t可是银狐狡猾而凶猛，很难取得银狐尾。你能帮我这个忙吗？	猎杀@npc_13011，带回5个银狐尾	\t银狐狡猾而凶猛，你要小心。	放弃任务	\t这么快就拿回来了？只有真正的勇士才能取得这美丽的银狐尾啊。	101005	德薛禅	-1	-1	-1	-1	猎杀@npc_13011取得5个银狐尾						0		0
8	-1	0	【剧场】银狐围脖	【剧场】银狐围脖	7	-1	-1	10	-1	-1	0	-1	-1	-1	22000	-1	-1	-1	-1	1	209	0	0	1495	0	0	1	25	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t要说编织，没人能比得上月伦夫人，拿去给她一定能把这银狐尾编织成漂亮的银狐围脖。	去找@npc_101006取编织好的银狐围脖		放弃任务	\t稍等一下，围脖马上做好。	101006	月伦夫人	-1	-1	0	9	去找@npc_101006						0		0
