NUM	NUM	NUM
宝石分组ID	消耗道具ID	消耗银卡值
1	11000937	1000
2	11000937	1000
3	11000937	1000
4	11000937	1000
5	11000937	1000
6	11000937	1000
7	11000937	1000
8	11000937	1000
9	11000937	1000
10	11000937	1000
11	11000937	1000
12	11000937	1000
13	11000937	1000
14	11000937	1000
15	11000937	1000
16	11000937	1000
17	11000937	1000
18	11000937	1000
19	11000937	1000
20	11000937	1000
21	11000937	1000
22	11000937	1000
23	11000937	1000
24	11000937	1000
25	11000937	1000
26	11000937	1000
27	11000937	1000
28	11000937	1000
29	11000937	1000
30	11000937	1000
31	11000937	1000
32	11000937	1000
33	11000937	1000
34	11000937	1000
35	11000937	1000
36	11000937	1000
37	11000937	1000
38	11000937	1000
39	11000937	1000
40	11000937	1000
41	11000937	1000
42	11000937	1000
43	11000937	1000
44	11000937	1000
45	11000937	1000
46	11000937	1000
47	11000937	1000
48	11000937	1000
49	11000937	1000
50	11000937	1000
51	11000937	1000
52	11000937	1000
53	11000937	1000
54	11000937	1000
55	11000937	1000
56	11000937	1000
57	11000937	1000
58	11000937	1000
59	11000937	1000
60	11000937	1000
61	11000937	1000
62	11000937	1000
63	11000937	1000
64	11000937	1000
65	11000937	1000
66	11000937	1000
67	11000937	1000
68	11000937	1000
69	11000937	1000
70	11000937	1000
71	11000937	1000
72	11000937	1000
73	11000937	1000
74	11000937	1000
75	11000937	1000
76	11000937	1000
77	11000937	1000
78	11000937	1000
79	11000937	1000
80	11000937	1000
81	11000937	1000
82	11000937	1000
83	11000937	1000
84	11000937	1000
85	11000937	1000
86	11000937	1000
87	11000937	1000
88	11000937	1000
