NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
ID编号	星级	装备点1	成功几率	失败惩罚	所需银卡	强化比例	强化属性类别（0：所有属性;1:基础属性;2：非基础属性）	可装备等级	所需人的等级	是否执行升阶操作
1	1	0	100	0	2500	10	2	75	75	0
2	2	0	100	0	3500	20	2	75	76	0
3	3	0	100	0	4500	30	2	75	77	0
4	4	0	100	0	5500	40	2	75	78	0
5	5	0	100	0	6500	50	2	75	79	0
6	6	0	100	0	7500	60	2	75	80	0
7	7	0	100	0	8500	70	2	75	81	0
8	8	0	100	0	9500	80	2	75	82	0
9	9	0	100	0	10500	90	2	75	83	0
10	10	0	100	0	11500	100	2	75	84	0
11	11	0	100	0	12500	110	2	75	85	1
12	12	0	100	0	13500	120	2	85	86	0
13	13	0	100	0	14500	130	2	85	87	0
14	14	0	100	0	15500	140	2	85	88	0
15	15	0	100	0	16500	150	2	85	89	0
16	16	0	100	0	17500	160	2	85	90	0
17	17	0	100	0	18500	170	2	85	91	0
18	18	0	100	0	19500	180	2	85	92	0
19	19	0	100	0	20500	190	2	85	93	0
20	20	0	100	0	21500	200	2	85	94	0
21	21	0	100	0	22500	210	2	85	95	1
22	22	0	100	0	23500	220	2	95	96	0
23	23	0	100	0	24500	230	2	95	97	0
24	24	0	100	0	25500	240	2	95	98	0
25	25	0	100	0	26500	250	2	95	99	0
26	26	0	100	0	27500	260	2	95	100	0
27	27	0	100	0	28500	270	2	95	101	0
28	28	0	100	0	29500	280	2	95	102	0
29	29	0	100	0	30500	290	2	95	103	0
30	30	0	100	0	31500	300	2	95	104	0
31	31	0	100	0	32500	310	2	95	105	1
32	32	0	100	0	33500	320	2	105	106	0
33	33	0	100	0	34500	330	2	105	107	0
34	34	0	100	0	35500	340	2	105	108	0
35	35	0	100	0	36500	350	2	105	109	0
36	36	0	100	0	37500	360	2	105	110	0
37	37	0	100	0	38500	370	2	105	111	0
38	38	0	100	0	39500	380	2	105	112	0
39	39	0	100	0	40500	390	2	105	113	0
40	40	0	100	0	41500	400	2	105	114	0
41	41	0	100	0	42500	410	2	105	115	1
42	42	0	100	0	43500	420	2	115	116	0
43	43	0	100	0	44500	430	2	115	117	0
44	44	0	100	0	45500	440	2	115	118	0
45	45	0	100	0	46500	450	2	115	119	0
46	46	0	100	0	47500	460	2	115	120	0
47	47	0	100	0	48500	470	2	115	121	0
48	48	0	100	0	50000	480	2	115	122	0
49	49	0	100	0	50000	490	2	115	123	0
50	50	0	100	0	50000	500	2	115	124	0
51	51	0	100	0	50000	510	2	115	125	0
52	52	0	100	0	50000	520	2	115	126	0
53	53	0	100	0	50000	530	2	115	127	0
54	54	0	100	0	50000	540	2	115	128	0
55	55	0	100	0	50000	550	2	115	129	0
56	56	0	100	0	50000	560	2	115	130	0
57	57	0	100	0	50000	570	2	115	131	0
58	58	0	100	0	50000	580	2	115	132	0
59	59	0	100	0	50000	590	2	115	133	0
60	60	0	100	0	50000	600	2	115	134	0
61	61	0	100	0	50000	610	2	115	135	0
62	62	0	100	0	50000	620	2	115	136	0
63	63	0	100	0	50000	630	2	115	137	0
64	64	0	100	0	50000	640	2	115	138	0
65	65	0	100	0	50000	650	2	115	139	0
66	66	0	100	0	50000	660	2	115	140	0
67	67	0	100	0	50000	670	2	115	141	0
68	68	0	100	0	50000	680	2	115	142	0
69	69	0	100	0	50000	690	2	115	143	0
70	70	0	100	0	50000	700	2	115	144	0
71	71	0	100	0	50000	710	2	115	145	0
72	72	0	100	0	50000	720	2	115	146	0
73	73	0	100	0	50000	730	2	115	147	0
74	74	0	100	0	50000	740	2	115	148	0
75	75	0	100	0	50000	750	2	115	149	0
76	76	0	100	0	50000	760	2	115	150	0
77	77	0	100	0	50000	770	2	115	151	0
78	78	0	100	0	50000	780	2	115	152	0
79	79	0	100	0	50000	790	2	115	153	0
80	80	0	100	0	50000	800	2	115	154	0
81	81	0	100	0	50000	810	2	115	155	0
82	82	0	100	0	50000	820	2	115	156	0
83	83	0	100	0	50000	830	2	115	157	0
84	84	0	100	0	50000	840	2	115	158	0
85	85	0	100	0	50000	850	2	115	159	0
86	86	0	100	0	50000	860	2	115	160	0
87	1	1	100	0	2500	10	2	75	75	0
88	2	1	100	0	3500	20	2	75	76	0
89	3	1	100	0	4500	30	2	75	77	0
90	4	1	100	0	5500	40	2	75	78	0
91	5	1	100	0	6500	50	2	75	79	0
92	6	1	100	0	7500	60	2	75	80	0
93	7	1	100	0	8500	70	2	75	81	0
94	8	1	100	0	9500	80	2	75	82	0
95	9	1	100	0	10500	90	2	75	83	0
96	10	1	100	0	11500	100	2	75	84	0
97	11	1	100	0	12500	110	2	75	85	1
98	12	1	100	0	13500	120	2	85	86	0
99	13	1	100	0	14500	130	2	85	87	0
100	14	1	100	0	15500	140	2	85	88	0
101	15	1	100	0	16500	150	2	85	89	0
102	16	1	100	0	17500	160	2	85	90	0
103	17	1	100	0	18500	170	2	85	91	0
104	18	1	100	0	19500	180	2	85	92	0
105	19	1	100	0	20500	190	2	85	93	0
106	20	1	100	0	21500	200	2	85	94	0
107	21	1	100	0	22500	210	2	85	95	1
108	22	1	100	0	23500	220	2	95	96	0
109	23	1	100	0	24500	230	2	95	97	0
110	24	1	100	0	25500	240	2	95	98	0
111	25	1	100	0	26500	250	2	95	99	0
112	26	1	100	0	27500	260	2	95	100	0
113	27	1	100	0	28500	270	2	95	101	0
114	28	1	100	0	29500	280	2	95	102	0
115	29	1	100	0	30500	290	2	95	103	0
116	30	1	100	0	31500	300	2	95	104	0
117	31	1	100	0	32500	310	2	95	105	1
118	32	1	100	0	33500	320	2	105	106	0
119	33	1	100	0	34500	330	2	105	107	0
120	34	1	100	0	35500	340	2	105	108	0
121	35	1	100	0	36500	350	2	105	109	0
122	36	1	100	0	37500	360	2	105	110	0
