NUM	NUM	NUM	FLOAT
属性id	计算方式（0代表点数，1代表百分比）	计算点数	对应分值
0	0	1	1
2	0	1	1
4	0	1	1
6	0	1	1
8	0	1	3
10	0	1	2
12	0	1	2
14	0	1	2
16	0	1	2
18	0	1	2
20	0	1	2
22	0	1	0.2
50	0	1	10
51	0	1	10
52	0	1	10
53	0	1	10
54	0	1	10
26	0	1	1.5
27	0	1	1.5
28	0	1	15
29	0	1	10
30	0	1	0.02
31	0	1	0.02
38	0	1	1.5
39	0	1	1.5
40	0	1	15
41	0	1	10
42	0	1	0.02
43	0	1	0.02
88	0	1	0.2
94	0	1	1
97	0	1	5
109	1	1	2
110	1	1	2
111	1	1	2
112	1	1	2
113	1	1	2
114	1	1	2
211	1	1	2
212	1	1	2
213	1	1	2
214	1	1	2
215	1	1	2
216	1	1	2
225	1	1	2
226	1	1	2
227	1	1	2
228	1	1	2
229	1	1	2
230	1	1	2
231	1	1	2
232	1	1	2
233	1	1	2
234	1	1	2
235	1	1	2
236	1	1	2
237	0	1	5
238	0	1	5
239	0	1	5
240	0	1	5
241	0	1	5
242	0	1	5
243	0	1	5
244	0	1	5
115	0	1	10
117	0	1	5
118	0	1	5
149	1	1	2
150	1	1	2
151	1	1	2
163	1	1	5
164	0	1	4
165	0	1	4
193	0	1	4
166	0	1	4
190	1	1	20
191	1	1	20
192	1	1	20
217	1	1	20
218	1	1	20
220	1	1	20
221	1	1	20
222	1	1	20
223	1	1	20
224	1	1	20
245	1	1	20
246	1	1	20
247	1	1	20
248	0	1	6
249	1	1	20
250	1	1	20
251	1	1	20
252	1	1	20
253	1	1	20
254	1	1	20
167	0	1	1
168	0	1	1
169	0	1	1
170	0	1	1
171	0	1	2
172	0	1	2
173	0	1	2
174	0	1	2
175	0	1	2
176	0	1	2
177	0	1	0.2
178	0	1	10
179	0	1	10
180	0	1	10
181	0	1	10
182	0	1	5
183	0	1	1.5
184	0	1	1.5
185	0	1	15
186	0	1	10
187	0	1	0.02
188	0	1	0.02
189	0	1	0.2
194	0	1	5
195	0	1	5
143	0	1	2
144	0	1	2
145	0	1	2
146	0	1	2
147	0	1	2
148	0	1	2
