NUM	TEXT	NUM	TEXT	NUM	NUM	TEXT	NUM	NUM	TEXT	NUM	NUM	TEXT	NUM	NUM	TEXT	NUM	NUM	TEXT	NUM	NUM	TEXT	NUM
生成装备的ID	装备的名称	固定材料1ID	固定材料1名称	固定材料1数量	固定材料2ID	固定材料2名称	固定材料2数量	固定材料3ID	固定材料3名称	固定材料3数量	材料1ID	材料1名称	材料1数量	材料2ID	材料2名称	材料2数量	材料3ID	材料3名称	材料3数量	材料4ID	材料4名称	材料4数量
20010001	御行甲·苍狼	12266899	御行甲组件	1	12267000	赤铁铸件	1				12267051	一级战车零件	1	-1	-1	1	-1	-1	1	-1	-1	1
20010002	御行甲·猛虎	12266899	御行甲组件	1	12267001	青铜铸件	1				12267051	一级战车零件	1	-1	-1	1	-1	-1	1	-1	-1	1
20010003	御行甲·暴熊	12266899	御行甲组件	1	12267002	墨钢铸件	1				12267051	一级战车零件	1	-1	-1	1	-1	-1	1	-1	-1	1
#																						
20020001	底盘·苍狼	12266901	底座组件	1	12267000	赤铁铸件	1				12267051	一级战车零件	1	-1	-1	1	-1	-1	1	-1	-1	1
20020002	底盘·猛虎	12266901	底座组件	1	12267001	青铜铸件	1				12267051	一级战车零件	1	-1	-1	1	-1	-1	1	-1	-1	1
20020003	底盘·暴熊	12266901	底座组件	1	12267002	墨钢铸件	1				12267051	一级战车零件	1	-1	-1	1	-1	-1	1	-1	-1	1
#																						
20030001	机枢·苍狼	12266900	机枢组件	1	12267000	赤铁铸件	1				12267051	一级战车零件	1	-1	-1	1	-1	-1	1	-1	-1	1
20030002	机枢·猛虎	12266900	机枢组件	1	12267001	青铜铸件	1				12267051	一级战车零件	1	-1	-1	1	-1	-1	1	-1	-1	1
20030003	机枢·暴熊	12266900	机枢组件	1	12267002	墨钢铸件	1				12267051	一级战车零件	1	-1	-1	1	-1	-1	1	-1	-1	1
#																						
20040001	疾风辕·苍狼	12266902	疾风辕组件	1	12267000	赤铁铸件	1				12267051	一级战车零件	1	-1	-1	1	-1	-1	1	-1	-1	1
20040002	疾风辕·猛虎	12266902	疾风辕组件	1	12267001	青铜铸件	1				12267051	一级战车零件	1	-1	-1	1	-1	-1	1	-1	-1	1
20040003	疾风辕·暴熊	12266902	疾风辕组件	1	12267002	墨钢铸件	1				12267051	一级战车零件	1	-1	-1	1	-1	-1	1	-1	-1	1
#																						
20050001	龙击炮·冰冻	12266898	龙击炮组件	1	12267000	赤铁铸件	1				12267051	一级战车零件	1	-1	-1	1	-1	-1	1	-1	-1	1
20050002	龙击炮·穿甲	12266898	龙击炮组件	1	12267001	青铜铸件	1				12267051	一级战车零件	1	-1	-1	1	-1	-1	1	-1	-1	1
20050003	龙击炮·攻城	12266898	龙击炮组件	1	12267002	墨钢铸件	1				12267051	一级战车零件	1	-1	-1	1	-1	-1	1	-1	-1	1
#																						
20060001	精准仪·苍狼	12266904	精准仪组件	1	12267000	赤铁铸件	1				12267051	一级战车零件	1	-1	-1	1	-1	-1	1	-1	-1	1
20060002	精准仪·猛虎	12266904	精准仪组件	1	12267001	青铜铸件	1				12267051	一级战车零件	1	-1	-1	1	-1	-1	1	-1	-1	1
20060003	精准仪·暴熊	12266904	精准仪组件	1	12267002	墨钢铸件	1				12267051	一级战车零件	1	-1	-1	1	-1	-1	1	-1	-1	1
#																						
20070001	嘹望窗·苍狼	12266905	瞭望窗组件	1	12267000	赤铁铸件	1				12267051	一级战车零件	1	-1	-1	1	-1	-1	1	-1	-1	1
20070002	嘹望窗·猛虎	12266905	瞭望窗组件	1	12267001	青铜铸件	1				12267051	一级战车零件	1	-1	-1	1	-1	-1	1	-1	-1	1
20070003	嘹望窗·暴熊	12266905	瞭望窗组件	1	12267002	墨钢铸件	1				12267051	一级战车零件	1	-1	-1	1	-1	-1	1	-1	-1	1
#																						
20080001	重击器·苍狼	12266903	重击器组件	1	12267000	赤铁铸件	1				12267051	一级战车零件	1	-1	-1	1	-1	-1	1	-1	-1	1
20080002	重击器·猛虎	12266903	重击器组件	1	12267001	青铜铸件	1				12267051	一级战车零件	1	-1	-1	1	-1	-1	1	-1	-1	1
20080003	重击器·暴熊	12266903	重击器组件	1	12267002	墨钢铸件	1				12267051	一级战车零件	1	-1	-1	1	-1	-1	1	-1	-1	1
