NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
 ID	回收道具ID	回收道具数量1	回收道具数量1权重(分母1000)	回收道具数量2	回收道具数量2权重	回收道具数量3	回收道具数量3权重
20000001	12035017	1	500	2	400	3	99
20000002	12035017	1	700	2	299	3	0
20000003	12035017	1	800	2	199	3	0
20000004	12035017	1	999	2	0	3	0
20010001	12035017	1	900	2	99	3	0
20010002	12035017	1	900	2	99	3	0
20010003	12035017	1	900	2	99	3	0
20020001	12035017	1	900	2	99	3	0
20020002	12035017	1	900	2	99	3	0
20020003	12035017	1	900	2	99	3	0
20030001	12035017	1	900	2	99	3	0
20030002	12035017	1	900	2	99	3	0
20030003	12035017	1	900	2	99	3	0
20040001	12035017	1	900	2	99	3	0
20040002	12035017	1	900	2	99	3	0
20040003	12035017	1	900	2	99	3	0
20050001	12035017	1	900	2	99	3	0
20050002	12035017	1	900	2	99	3	0
20050003	12035017	1	900	2	99	3	0
20060001	12035017	1	900	2	99	3	0
20060002	12035017	1	900	2	99	3	0
20060003	12035017	1	900	2	99	3	0
20070001	12035017	1	900	2	99	3	0
20070002	12035017	1	900	2	99	3	0
20070003	12035017	1	900	2	99	3	0
20080001	12035017	1	900	2	99	3	0
20080002	12035017	1	900	2	99	3	0
20080003	12035017	1	900	2	99	3	0
20020005	12035017	100	900	150	99	250	0
20020006	12035017	100	900	150	99	250	0
20020007	12035017	100	900	150	99	250	0
20030005	12035017	100	900	150	99	250	0
20030006	12035017	100	900	150	99	250	0
20030007	12035017	100	900	150	99	250	0
20040005	12035017	100	900	150	99	250	0
20040006	12035017	100	900	150	99	250	0
20040007	12035017	100	900	150	99	250	0
20050005	12035017	100	900	150	99	250	0
20050006	12035017	100	900	150	99	250	0
20050007	12035017	100	900	150	99	250	0
20060005	12035017	100	900	150	99	250	0
20060006	12035017	100	900	150	99	250	0
20060007	12035017	100	900	150	99	250	0
20070005	12035017	100	900	150	99	250	0
20070006	12035017	100	900	150	99	250	0
20070007	12035017	100	900	150	99	250	0
20080005	12035017	100	900	150	99	250	0
20080006	12035017	100	900	150	99	250	0
20080007	12035017	100	900	150	99	250	0
20000008	12035017	100	900	150	99	250	0
20000009	12035017	100	900	150	99	250	0
20000010	12035017	100	900	150	99	250	0
20000011	12035017	100	900	150	99	250	0
20010005	12035017	100	900	150	99	250	0
20010006	12035017	100	900	150	99	250	0
20010007	12035017	100	900	150	99	250	0
