NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM
随蓝石ID	水蓝石名称（不读，只为了看）	种类随机权重	出一个的权重	两个的权重	三个的权重	四个的权重	五个的权重
11000866	单纹水蓝石	190000	700000	200000	100000	0	0
11000867	单纹水蓝石	0	700000	200000	100000	0	0
11000868	单纹水蓝石	0	700000	200000	100000	0	0
11000869	单纹水蓝石	0	700000	200000	100000	0	0
11000870	单纹水蓝石	0	700000	200000	100000	0	0
11000871	双纹水蓝石	190000	700000	200000	100000	0	0
11000872	双纹水蓝石	0	700000	200000	100000	0	0
11000873	双纹水蓝石	0	700000	200000	100000	0	0
11000874	双纹水蓝石	0	700000	200000	100000	0	0
11000875	双纹水蓝石	0	700000	200000	100000	0	0
11000876	三纹水蓝石	190000	700000	200000	100000	0	0
11000877	三纹水蓝石	0	700000	200000	100000	0	0
11000878	三纹水蓝石	0	700000	200000	100000	0	0
11000879	三纹水蓝石	0	700000	200000	100000	0	0
11000880	三纹水蓝石	0	700000	200000	100000	0	0
11000881	四纹水蓝石	190000	700000	200000	100000	0	0
11000882	四纹天蓝石	20000	750000	200000	50000	0	0
11000883	四纹水蓝石	0	800000	150000	50000	0	0
11000884	四纹水蓝石	0	800000	150000	50000	0	0
11000885	四纹水蓝石	0	800000	150000	50000	0	0
11000886	五纹水蓝石	190000	700000	200000	100000	0	0
11000887	五纹天蓝石	20000	750000	200000	50000	0	0
11000888	五纹靛蓝石	10000	800000	150000	50000	0	0
11000889	五纹水蓝石	0	800000	150000	50000	0	0
11000890	五纹水蓝石	0	800000	150000	50000	0	0
