NUM	TEXT	NUM	TEXT	NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	NUM	NUM	NUM	TEXT	NUM	NUM	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT
ID编号	效果名称	效果类别	ToolTips	逻辑ID编号	隐身级别	陷阱技能专用标记	陷阱可激活次数	生存期持续特殊光效	持续音效	激活特殊光效	激活音效	消亡特殊光效	消亡音效	预留	预留	预留	 子弹ID编号	持续时间（毫秒）	触发时间间隔	触发半径大小	影响半径大小	影响个数	预留	预留	预留	预留	预留	效果说明	效果值	效果说明	效果值	效果说明	效果值	效果说明	效果值	效果说明	效果值	效果说明	效果值	效果说明	效果值	效果说明	效果值	效果说明	效果值	效果说明	效果值	效果说明	效果值	效果说明	效果值	效果说明	效果值	效果说明	效果值	效果说明	效果值	效果说明	效果值	描述（无意义）
301	定身陷阱	陷阱	1	0	10	2	1	陷阱骑射_迷魂索_01		触发骑射_迷魂索_01	击中_眩晕陷阱_01.ogg							30000	100	5	5	1						效果1	3211	效果2	-1	效果3几率	100	效果3	-1																									
302	定身陷阱	陷阱	1	0	10	2	1	陷阱骑射_迷魂索_01		触发骑射_迷魂索_01	击中_眩晕陷阱_01.ogg							30000	100	5	5	1						效果1	3212	效果2	-1	效果3几率	100	效果3	-1																									
303	定身陷阱	陷阱	1	0	10	2	1	陷阱骑射_迷魂索_01		触发骑射_迷魂索_01	击中_眩晕陷阱_01.ogg							30000	100	5	5	1						效果1	3213	效果2	-1	效果3几率	100	效果3	-1																									
304	定身陷阱	陷阱	1	0	10	2	1	陷阱骑射_迷魂索_01		触发骑射_迷魂索_01	击中_眩晕陷阱_01.ogg							30000	100	5	5	1						效果1	3214	效果2	-1	效果3几率	100	效果3	-1																									
305	定身陷阱	陷阱	1	0	10	2	1	陷阱骑射_迷魂索_01		触发骑射_迷魂索_01	击中_眩晕陷阱_01.ogg							30000	100	5	5	1						效果1	3215	效果2	-1	效果3几率	100	效果3	-1																									
306	定身陷阱	陷阱	1	0	10	2	1	陷阱骑射_迷魂索_01		触发骑射_迷魂索_01	击中_眩晕陷阱_01.ogg							30000	100	5	5	1						效果1	3216	效果2	-1	效果3几率	100	效果3	-1																									
307	定身陷阱	陷阱	1	0	10	2	1	陷阱骑射_迷魂索_01		触发骑射_迷魂索_01	击中_眩晕陷阱_01.ogg							30000	100	5	5	1						效果1	3217	效果2	-1	效果3几率	100	效果3	-1																									
308	定身陷阱	陷阱	1	0	10	2	1	陷阱骑射_迷魂索_01		触发骑射_迷魂索_01	击中_眩晕陷阱_01.ogg							30000	100	5	5	1						效果1	3218	效果2	-1	效果3几率	100	效果3	-1																									
309	定身陷阱	陷阱	1	0	10	2	1	陷阱骑射_迷魂索_01		触发骑射_迷魂索_01	击中_眩晕陷阱_01.ogg							30000	100	5	5	1						效果1	3219	效果2	-1	效果3几率	100	效果3	-1																									
310	定身陷阱	陷阱	1	0	10	2	1	陷阱骑射_迷魂索_01		触发骑射_迷魂索_01	击中_眩晕陷阱_01.ogg							30000	100	5	5	1						效果1	3220	效果2	-1	效果3几率	100	效果3	-1																									
311	爆裂陷阱	陷阱	1	0	10	3	5	陷阱骑射_夺命索_01		触发骑射_夺命索_01	击中_爆炸陷阱_01.ogg							30000	1000	5	5	10						效果1	3221	效果2	-1	效果3几率	100	效果3	-1																									
312	爆裂陷阱	陷阱	1	0	10	3	5	陷阱骑射_夺命索_01		触发骑射_夺命索_01	击中_爆炸陷阱_01.ogg							30000	1000	5	5	10						效果1	3222	效果2	-1	效果3几率	100	效果3	-1																									
313	爆裂陷阱	陷阱	1	0	10	3	5	陷阱骑射_夺命索_01		触发骑射_夺命索_01	击中_爆炸陷阱_01.ogg							30000	1000	5	5	10						效果1	3223	效果2	-1	效果3几率	100	效果3	-1																									
314	爆裂陷阱	陷阱	1	0	10	3	5	陷阱骑射_夺命索_01		触发骑射_夺命索_01	击中_爆炸陷阱_01.ogg							30000	1000	5	5	10						效果1	3224	效果2	-1	效果3几率	100	效果3	-1																									
315	爆裂陷阱	陷阱	1	0	10	3	5	陷阱骑射_夺命索_01		触发骑射_夺命索_01	击中_爆炸陷阱_01.ogg							30000	1000	5	5	10						效果1	3225	效果2	-1	效果3几率	100	效果3	-1																									
316	爆裂陷阱	陷阱	1	0	10	3	5	陷阱骑射_夺命索_01		触发骑射_夺命索_01	击中_爆炸陷阱_01.ogg							30000	1000	5	5	10						效果1	3226	效果2	-1	效果3几率	100	效果3	-1																									
317	爆裂陷阱	陷阱	1	0	10	3	5	陷阱骑射_夺命索_01		触发骑射_夺命索_01	击中_爆炸陷阱_01.ogg							30000	1000	5	5	10						效果1	3227	效果2	-1	效果3几率	100	效果3	-1																									
318	爆裂陷阱	陷阱	1	0	10	3	5	陷阱骑射_夺命索_01		触发骑射_夺命索_01	击中_爆炸陷阱_01.ogg							30000	1000	5	5	10						效果1	3228	效果2	-1	效果3几率	100	效果3	-1																									
319	爆裂陷阱	陷阱	1	0	10	3	5	陷阱骑射_夺命索_01		触发骑射_夺命索_01	击中_爆炸陷阱_01.ogg							30000	1000	5	5	10						效果1	3229	效果2	-1	效果3几率	100	效果3	-1																									
320	爆裂陷阱	陷阱	1	0	10	3	5	陷阱骑射_夺命索_01		触发骑射_夺命索_01	击中_爆炸陷阱_01.ogg							30000	1000	5	5	10						效果1	3230	效果2	-1	效果3几率	100	效果3	-1																									
321	迟缓陷阱	陷阱	1	0	10	2	5	陷阱骑射_绊马索_01		触发骑射_绊马索_01	击中_迟缓陷阱_01.ogg							30000	1000	5	5	10						效果1	3231	效果2	-1	效果3几率	100	效果3	-1																									
322	迟缓陷阱	陷阱	1	0	10	2	5	陷阱骑射_绊马索_01		触发骑射_绊马索_01	击中_迟缓陷阱_01.ogg							30000	1000	5	5	10						效果1	3232	效果2	-1	效果3几率	100	效果3	-1																									
323	迟缓陷阱	陷阱	1	0	10	2	5	陷阱骑射_绊马索_01		触发骑射_绊马索_01	击中_迟缓陷阱_01.ogg							30000	1000	5	5	10						效果1	3233	效果2	-1	效果3几率	100	效果3	-1																									
324	迟缓陷阱	陷阱	1	0	10	2	5	陷阱骑射_绊马索_01		触发骑射_绊马索_01	击中_迟缓陷阱_01.ogg							30000	1000	5	5	10						效果1	3234	效果2	-1	效果3几率	100	效果3	-1																									
325	迟缓陷阱	陷阱	1	0	10	2	5	陷阱骑射_绊马索_01		触发骑射_绊马索_01	击中_迟缓陷阱_01.ogg							30000	1000	5	5	10						效果1	3235	效果2	-1	效果3几率	100	效果3	-1																									
326	迟缓陷阱	陷阱	1	0	10	2	5	陷阱骑射_绊马索_01		触发骑射_绊马索_01	击中_迟缓陷阱_01.ogg							30000	1000	5	5	10						效果1	3236	效果2	-1	效果3几率	100	效果3	-1																									
327	迟缓陷阱	陷阱	1	0	10	2	5	陷阱骑射_绊马索_01		触发骑射_绊马索_01	击中_迟缓陷阱_01.ogg							30000	1000	5	5	10						效果1	3237	效果2	-1	效果3几率	100	效果3	-1																									
328	迟缓陷阱	陷阱	1	0	10	2	5	陷阱骑射_绊马索_01		触发骑射_绊马索_01	击中_迟缓陷阱_01.ogg							30000	1000	5	5	10						效果1	3238	效果2	-1	效果3几率	100	效果3	-1																									
329	迟缓陷阱	陷阱	1	0	10	2	5	陷阱骑射_绊马索_01		触发骑射_绊马索_01	击中_迟缓陷阱_01.ogg							30000	1000	5	5	10						效果1	3239	效果2	-1	效果3几率	100	效果3	-1																									
