NUM	TEXT	NUM	TEXT	NUM	TEXT	NUM	NUM	NUM	TEXT	TEXT
编号	名字	所需技能编号	调用的模型	相应任务编号	标签	采集时间	相应脚本	采集动画	采集特效	相应任务（quest list）
1	小土堆	26	竹筐.mesh				301000		ui_采集_12	51
2	引魂草	26	马蹄莲.mesh				301001		ui_采集_12	71
3	木华黎的弯刀	26	掉落刀.mesh				301002		ui_采集_12	57
4	奇怪的信	26	沙漠枯树03.mesh				301003		ui_采集_12	155
5	木合草	26	灌木05.mesh				301004		状态_增加生命上限_01	2792
6	芨芨草	26	藏花丛.mesh				301005		状态_增加生命上限_01	2893
7	粮仓	26	野外粮仓2.mesh				301006		ui_采集_12	-1
8	水草	26	马蹄莲.mesh				301007		ui_采集_12	-1
9	瓷器	26	钧窑瓷器2.mesh				301008		ui_采集_12	-1
10	老鼠洞	26	藏花丛.mesh				301009		状态_增加生命上限_01	2730
11	黑暗雕像	26	教堂石像01.mesh				301010		ui_采集_12	2895
12	甘草	26	棕榈灌木1.mesh				301011		状态_增加生命上限_01	3536
13	草堆	26	竹筐.mesh				301012		状态_增加生命上限_01	3539
14	药材堆	26	麻袋.mesh				301013		ui_采集_12	3566
15	和尚堆	26	竹筐.mesh				301014		ui_采集_12	3575
16	野猪腿	26	掉落鲜肉.mesh				301015		ui_采集_12	3513
17	饭桶	26	竹筐.mesh				301016		ui_采集_12	3602
18	假桑昆藏身处	26	皇城假山石2.mesh				301017		ui_采集_12	3592
19	开关	26	财宝箱.mesh				301018		ui_采集_12	-1
20	青龙	26	财宝箱.mesh				301019		ui_采集_12	-1
21	白虎	26	财宝箱.mesh				301019		ui_采集_12	-1
22	朱雀	26	财宝箱.mesh				301019		ui_采集_12	-1
23	玄武	26	财宝箱.mesh				301019		ui_采集_12	-1
24	金	26	财宝箱.mesh				301020		ui_采集_12	-1
25	木	26	财宝箱.mesh				301020		ui_采集_12	-1
26	水	26	财宝箱.mesh				301020		ui_采集_12	-1
27	火	26	财宝箱.mesh				301020		ui_采集_12	-1
28	土	26	财宝箱.mesh				301020		ui_采集_12	-1
29	火炮	26	炮台.mesh				301021		ui_采集_12	-1
30	火炮弹	26	炮弹箱.mesh				301022		ui_采集_12	-1
32	烟火	26	红木箱子.mesh				301024		ui_采集_12	-1
33	铁胎弓	26	掉落弓.mesh				301025		ui_采集_12	104
34	炮弹	26	红木箱子.mesh				301026		ui_采集_12	-1
35	火炮	26	红木箱子.mesh				301027		ui_采集_12	-1
36	腰刀	26	红木箱子.mesh				301028		ui_采集_12	-1
37	轰天大炮	26	红木箱子.mesh				301029		ui_采集_12	-1
38	五色花	26	红木箱子.mesh				301031		ui_采集_12	-1
39	宝箱	26	红木箱子.mesh				301032		ui_采集_12	-1
40	牧靡草	26	马蹄莲.mesh				301033		ui_采集_12	957
50	苹果	26	任务苹果.mesh				301050		ui_采集_12	-1
51	苹果	26	任务苹果.mesh				301051		ui_采集_12	-1
52	野花	26	皇城花丛6.mesh				301052		ui_采集_12	-1
53	黑箱子	26	红木箱子.mesh				301053		ui_采集_12	-1
54	火蜥蜴之尾	26	红木箱子.mesh				301054		ui_采集_12	-1
55	玉米	26	玉米植物01.mesh				301055		ui_采集_12	-1
