NUM	TEXT
等级	经验
1	10
2	45
3	140
4	325
5	630
6	1085
7	1720
8	2565
9	3650
10	5005
11	6660
12	8645
13	10990
14	13725
15	16880
16	20485
17	24570
18	29165
19	34300
20	68956
21	95810
22	120000
23	150579
24	187824
25	201192
26	222841
27	259924
28	302592
29	310990
30	1251143
31	1320651
32	1390160
33	1469597
34	1539105
35	1618543
36	1697980
37	1777418
38	1856856
39	3813009
40	4855871
41	5085377
42	5302804
43	5544390
44	5785976
45	6039640
46	6293305
47	6559050
48	6824794
49	13939491
50	11446321
51	11908062
52	12381955
53	12880149
54	19672605
55	16027280
56	16646985
57	17278842
58	17935000
59	27364242
60	28024350
61	34189707
62	41700232
63	50847380
64	61985378
65	94430849
66	105471995
67	117777061
68	131488420
69	200133111
70	203278075
71	247418457
72	301083868
73	366318707
74	445604125
75	903251606
76	1006824457
77	1122079362
78	1250317003
79	1392981379
80	1415855064
81	1449169301
82	1482483538
83	1515797774
84	1549112011
85	1582426248
86	1615740485
87	1649054722
88	1682368958
89	1731996576
90	2251595549
91	2476755104
92	2724430614
93	2996873675
94	4495310513
95	4720076039
96	4956079841
97	5203883833
98	5464078024
99	7376505333
100	7430265312
101	8173291842
102	8336757679
103	8503492832
104	8673562689
105	9891497937
106	10815327896
107	11643634453
108	12176507143
109	13140372085
110	14827581638
111	15568960719
112	16503098363
113	17658315248
114	19070980468
115	20787368710
116	21826737146
117	23136341374
118	24755885271
119	26736356092
120	29142628141
121	32056890955
122	33980304412
123	36019122677
124	38180270038
125	40471086240
126	42899351414
127	45473312499
128	48201711249
129	51093813924
130	54159442760
131	54159442760
132	54159442760
133	54159442760
134	54159442760
135	54159442760
136	54159442760
137	54159442760
138	54159442760
139	54159442760
140	54159442760
141	54159442760
142	54159442760
143	54159442760
144	54159442760
145	54159442760
146	54159442760
147	54159442760
148	54159442760
149	54159442760
150	54159442760
151	54159442760
152	54159442760
153	54159442760
154	54159442760
155	54159442760
156	54159442760
157	54159442760
158	54159442760
159	54159442760
160	54159442760
