NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
贵族等级	划拨金额	奖励物品1	数量	奖励物品2	数量	奖励物品3	数量	活力上限	体力上限	离线代练经验(%)	每日战车荣誉上限	每日荣誉上限(%)	每日藏宝洞次数	每日庄园种植次数	浮屠塔每天可增加次数
1	1	12030533	1					10	10	5	200	1	0	0	0
2	2	12030533	1	12030100	1			30	30	5	280	1	0	0	0
3	3	12030533	1	12030100	1			50	50	10	360	1	1	0	0
4	4	12030533	1	12030100	1	11000333	20	70	70	15	440	2	1	1	1
5	5	12030533	1	12030100	1	11000333	30	100	100	15	520	2	2	1	1
6	6	12030533	1	12030100	1	11000333	40	130	130	20	600	3	2	2	1
7	7	12030533	1	12030100	1	11000333	50	160	160	25	680	3	3	2	1
8	8	12030533	1	12030100	1	11000333	60	200	200	30	760	4	3	3	2
9	9	12030533	1	12030100	1	11000333	80	240	240	35	840	4	4	3	2
10	10	12030533	1	12030047	1	11000333	100	300	300	40	1000	5	4	3	2
