NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
索引	连续登录天数	等级	奖励物品1	数量	奖励物品2	数量	奖励物品3	数量	奖励物品4	数量
1	1	60	12271315	1	12041101	1				
2	1	80	12271315	1	12041101	1				
3	1	100	12271315	1	12041101	1				
4	1	161	12271315	1	12041101	1				
5	2	60	12271316	1	11990015	1	12271310	2		
6	2	80	12271316	1	11990015	1	12271310	2		
7	2	100	12271316	1	11990015	1	12271310	2		
8	2	161	12271316	1	11990015	1	12271310	2		
9	3	60	12271317	1	12271311	1	12271310	3	12030258	1
10	3	80	12271317	1	12271311	1	12271310	3	12030258	1
11	3	100	12271317	1	12271311	1	12271310	3	12030258	1
12	3	161	12271317	1	12271311	1	12271310	3	12030258	1
13	4	60	12271318	1	12271312	1	12271310	4	12030011	5
14	4	80	12271318	1	12271312	1	12271310	4	12030011	5
15	4	100	12271318	1	12271312	1	12271310	4	12030011	5
16	4	161	12271318	1	12271312	1	12271310	4	12030011	5
17	5	60	12271319	1	12271313	1	12271310	5	12030011	10
18	5	80	12271319	1	12271313	1	12271310	5	12030011	10
19	5	100	12271319	1	12271313	1	12271310	5	12030011	10
20	5	161	12271319	1	12271313	1	12271310	5	12030011	10
21	6	60	12271320	1	12271314	1	12271310	6	12271321	2
22	6	80	12271320	1	12271314	1	12271310	6	12271322	2
23	6	100	12271320	1	12271314	1	12271310	6	12271323	2
24	6	161	12271320	1	12271314	1	12271310	6	12271324	2
