NUM	FLOAT	FLOAT	FLOAT	FLOAT
等级差	掉落衰减率	经验衰减率	队伍掉落衰减率（废弃）	队伍经验衰减率（废弃）
-256	10	1	10	1
-255	10	1	10	1
-254	10	1	10	1
-253	10	1	10	1
-252	10	1	10	1
-251	10	1	10	1
-250	10	1	10	1
-249	10	1	10	1
-248	10	1	10	1
-247	10	1	10	1
-246	10	1	10	1
-245	10	1	10	1
-244	10	1	10	1
-243	10	1	10	1
-242	10	1	10	1
-241	10	1	10	1
-240	10	1	10	1
-239	10	1	10	1
-238	10	1	10	1
-237	10	1	10	1
-236	10	1	10	1
-235	10	1	10	1
-234	10	1	10	1
-233	10	1	10	1
-232	10	1	10	1
-231	10	1	10	1
-230	10	1	10	1
-229	10	1	10	1
-228	10	1	10	1
-227	10	1	10	1
-226	10	1	10	1
-225	10	1	10	1
-224	10	1	10	1
-223	10	1	10	1
-222	10	1	10	1
-221	10	1	10	1
-220	10	1	10	1
-219	10	1	10	1
-218	10	1	10	1
-217	10	1	10	1
-216	10	1	10	1
-215	10	1	10	1
-214	10	1	10	1
-213	10	1	10	1
-212	10	1	10	1
-211	10	1	10	1
-210	10	1	10	1
-209	10	1	10	1
-208	10	1	10	1
-207	10	1	10	1
-206	10	1	10	1
-205	10	1	10	1
-204	10	1	10	1
-203	10	1	10	1
-202	10	1	10	1
-201	10	1	10	1
-200	10	1	10	1
-199	10	1	10	1
-198	10	1	10	1
-197	10	1	10	1
-196	10	1	10	1
-195	10	1	10	1
-194	10	1	10	1
-193	10	1	10	1
-192	10	1	10	1
-191	10	1	10	1
-190	10	1	10	1
-189	10	1	10	1
-188	10	1	10	1
-187	10	1	10	1
-186	10	1	10	1
-185	10	1	10	1
-184	10	1	10	1
-183	10	1	10	1
-182	10	1	10	1
-181	10	1	10	1
-180	10	1	10	1
-179	10	1	10	1
-178	10	1	10	1
-177	10	1	10	1
-176	10	1	10	1
-175	10	1	10	1
-174	10	1	10	1
-173	10	1	10	1
-172	10	1	10	1
-171	10	1	10	1
-170	10	1	10	1
-169	10	1	10	1
-168	10	1	10	1
-167	10	1	10	1
-166	10	1	10	1
-165	10	1	10	1
-164	10	1	10	1
-163	10	1	10	1
-162	10	1	10	1
-161	10	1	10	1
-160	10	1	10	1
-159	10	1	10	1
-158	10	1	10	1
-157	10	1	10	1
-156	10	1	10	1
