NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
索引Index	商店名称	商店索引	商品id	"货币类型CU_SILLER,=0//银CU_BINDSILLER,=1//绑定的银CU_GOLD,=2//金CU_BINDGOLD,=3//绑定的金"	价格	数量	更新间隔时间	更新最小个数	更新最大个数	每次价格增加	每次价格减少	衰减时间	权重	类型（0为动态价格商店，1为随机商品商店）
	神秘商店	0	12030203	3	15000	1	3600	6	6	0	0	3600	1	1
2	神秘商店	0	12010024	3	19800	4	3600	6	6	0	0	3600	1	1
3	神秘商店	0	12035002	3	2000	5	3600	6	6	0	0	3600	1	1
4	神秘商店	0	11000552	3	7000	40	3600	6	6	0	0	3600	1	1
5	神秘商店	0	11000551	3	2800	40	3600	6	6	0	0	3600	1	1
6	神秘商店	0	12030218	3	2000	35	3600	6	6	0	0	3600	1	1
7	神秘商店	0	11010113	3	15000	3	3600	6	6	0	0	3600	1	1
8	神秘商店	0	19010004	3	40000	3	3600	6	6	0	0	3600	1	1
9	神秘商店	0	11000214	3	3000	2	3600	6	6	0	0	3600	1	1
10	神秘商店	0	11000216	3	3000	2	3600	6	6	0	0	3600	1	1
11	神秘商店	0	12030511	3	19600	1	3600	6	6	0	0	3600	1	1
12	新春商店	1	11000550	3	900	100	3600	10	10	0	0	3600	15	1
13	新春商店	1	11010111	3	3000	5	3600	10	10	0	0	3600	1	1
14	新春商店	1	11000501	3	1800	50	3600	10	10	0	0	3600	1	1
15	新春商店	1	12054300	3	1800	50	3600	10	10	0	0	3600	1	1
16	新春商店	1	12041101	3	900	50	3600	10	10	0	0	3600	1	1
17	新春商店	1	11010001	3	1800	50	3600	10	10	0	0	3600	1	1
18	新春商店	1	11990011	3	900	50	3600	10	10	0	0	3600	1	1
19	新春商店	1	11990050	3	720	50	3600	10	10	0	0	3600	1	1
20	新春商店	1	12030203	3	15000	5	3600	10	10	0	0	3600	1	1
21	新春商店	1	11990110	3	4500	10	3600	10	10	0	0	3600	1	1
22	新春商店	1	12054301	3	5400	10	3600	10	10	0	0	3600	1	1
23	新春商店	1	12030405	3	2700	20	3600	10	10	0	0	3600	1	1
24	新春商店	1	12041108	3	1800	20	3600	10	10	0	0	3600	1	1
25	新春商店	1	12041110	3	2700	20	3600	10	10	0	0	3600	1	1
26	新春商店	1	12041111	3	2700	20	3600	10	10	0	0	3600	1	1
27	新春商店	1	12041112	3	2700	20	3600	10	10	0	0	3600	1	1
28	新春商店	1	12010024	3	19800	5	3600	10	10	0	0	3600	1	1
29	新春商店	1	11000552	3	7000	20	3600	10	10	0	0	3600	1	1
30	新春商店	1	12030511	3	19600	1	3600	10	10	0	0	3600	1	1
31	新春商店	2	11000902	3	1800	10	3600	10	10	0	0	3600	15	1
32	新春商店	2	11010111	3	3000	5	3600	10	10	0	0	3600	1	1
33	新春商店	2	11000501	3	1800	50	3600	10	10	0	0	3600	1	1
34	新春商店	2	12054300	3	1800	50	3600	10	10	0	0	3600	1	1
35	新春商店	2	12041101	3	900	50	3600	10	10	0	0	3600	1	1
36	新春商店	2	11010001	3	1800	50	3600	10	10	0	0	3600	1	1
37	新春商店	2	11990011	3	900	50	3600	10	10	0	0	3600	1	1
38	新春商店	2	11990050	3	720	50	3600	10	10	0	0	3600	1	1
39	新春商店	2	12030203	3	15000	5	3600	10	10	0	0	3600	1	1
40	新春商店	2	11990110	3	4500	10	3600	10	10	0	0	3600	1	1
41	新春商店	2	12054301	3	5400	10	3600	10	10	0	0	3600	1	1
42	新春商店	2	12030405	3	2700	20	3600	10	10	0	0	3600	1	1
43	新春商店	2	12041108	3	1800	20	3600	10	10	0	0	3600	1	1
44	新春商店	2	12041110	3	2700	20	3600	10	10	0	0	3600	1	1
45	新春商店	2	12041111	3	2700	20	3600	10	10	0	0	3600	1	1
46	新春商店	2	12041112	3	2700	20	3600	10	10	0	0	3600	1	1
47	新春商店	2	12010024	3	19800	5	3600	10	10	0	0	3600	1	1
48	新春商店	2	11000552	3	7000	20	3600	10	10	0	0	3600	1	1
49	新春商店	2	12030511	3	19600	1	3600	10	10	0	0	3600	1	1
50	新春商店	3	11000702	3	80000	1	3600	10	10	0	0	3600	15	1
