9160		命中修正值	5	闪避修正值	5	会心修正值	5	韧性修正值	5	暴击伤害修正值	5																								13		1	9160	9160	9160	1	1	1	0	0	0	0	0	0	1	-1	0	0	0	-1	0	0
9161		命中修正值	10	闪避修正值	10	会心修正值	10	韧性修正值	10	暴击伤害修正值	10																								13		1	9161	9161	9161	1	1	1	0	0	0	0	0	0	1	-1	0	0	0	-1	0	0
9162		命中修正值	15	闪避修正值	15	会心修正值	15	韧性修正值	15	暴击伤害修正值	15																								13		1	9162	9162	9162	1	1	1	0	0	0	0	0	0	1	-1	0	0	0	-1	0	0
9163		命中修正值	20	闪避修正值	20	会心修正值	20	韧性修正值	20	暴击伤害修正值	20																								13		1	9163	9163	9163	1	1	1	0	0	0	0	0	0	1	-1	0	0	0	-1	0	0
9164		命中修正值	25	闪避修正值	25	会心修正值	25	韧性修正值	25	暴击伤害修正值	25																								13		1	9164	9164	9164	1	1	1	0	0	0	0	0	0	1	-1	0	0	0	-1	0	0
9165		命中修正值	30	闪避修正值	30	会心修正值	30	韧性修正值	30	暴击伤害修正值	30																								13		1	9165	9165	9165	1	1	1	0	0	0	0	0	0	1	-1	0	0	0	-1	0	0
9166		命中修正值	35	闪避修正值	35	会心修正值	35	韧性修正值	35	暴击伤害修正值	35																								13		1	9166	9166	9166	1	1	1	0	0	0	0	0	0	1	-1	0	0	0	-1	0	0
9167		命中修正值	40	闪避修正值	40	会心修正值	40	韧性修正值	40	暴击伤害修正值	40																								13		1	9167	9167	9167	1	1	1	0	0	0	0	0	0	1	-1	0	0	0	-1	0	0
9168		命中修正值	45	闪避修正值	45	会心修正值	45	韧性修正值	45	暴击伤害修正值	45																								13		1	9168	9168	9168	1	1	1	0	0	0	0	0	0	1	-1	0	0	0	-1	0	0
9169		命中修正值	50	闪避修正值	50	会心修正值	50	韧性修正值	50	暴击伤害修正值	50																								13		1	9169	9169	9169	1	1	1	0	0	0	0	0	0	1	-1	0	0	0	-1	0	0
9170		命中修正值	55	闪避修正值	55	会心修正值	55	韧性修正值	55	暴击伤害修正值	55																								13		1	9170	9170	9170	1	1	1	0	0	0	0	0	0	1	-1	0	0	0	-1	0	0
